INDEX_MODEL,CUSTOMER,SKU_NO,BARCODE,SKU_NAME,MODEL,SKU_TYPE,USE_SELLOUT,USE_STOCK,CHK_CAT,CHK_SUB_CAT,SIZE,REMARK,REMARK
MK-910209-8855671025164,MK,910209,8.85567E+12,#HAIER ค.น้ำอุ่น 3500W #EI35A1(W),EI35A1(W),SELLABLE,,,WH,Manual,3500W,,
MK-897781-,MK,897781,,#HAIER ค.น้ำอุ่น #EI35G1(S) 3500W,EI35G1(S),SELLABLE,,,WH,Digital,3500W,,
MK-897779-,MK,897779,,# HAIER ค.น้ำอุ่น #EI35L1(W)3500W,EI35L1(W),SELLABLE,,,WH,Manual,3500W,,
MK-852819-,MK,852819,,#ค.น้ำอุ่น HAIER EI35M(AES) 3500W,EI35M(AES),SELLABLE,,,WH,Manual,3500W,,
MK-863954-,MK,863954,,#ค.น้ำอุ่น HAIER #EI35M(AES)3500W,EI35M(AES),SELLABLE,,,WH,Manual,3500W,,
MK-932096-8855671031813,MK,932096,8.85567E+12,#HAIERค.ทำน้ำอุ่น#EI35M-B1W 3500W,EI35M-B1W(TH),SELLABLE,,,WH,Manual,3500W,,
MK-910211-8855671031240,MK,910211,8.85567E+12,#HAIER ค.น้ำอุ่น3500W#EI35M-F1CWB,EI35M-F1CWB(TH),SELLABLE,,,WH,Manual,3500W,,
MK-852820-,MK,852820,,#ค.น้ำอุ่น HAIER EI45M(AE) 4500W,EI45M(AE),SELLABLE,,,WH,Manual,4500W,,
MK-863934-,MK,863934,,#ค.น้ำอุ่น HAIER #EI45M(AE) 4500W,EI45M(AE),SELLABLE,,,WH,Manual,4500W,,
MK-897780-,MK,897780,,#HAIER ค.น้ำอุ่น #EI45L1(W) 4500W,EI45L1(W),SELLABLE,,,WH,Manual,4500W,,
MK-897782-,MK,897782,,#HAIER ค.น้ำอุ่น #EI45G1(S) 4500W,EI45G1(S),SELLABLE,,,WH,Manual,4500W,,
MK-910210-8855671030113,MK,910210,8.85567E+12,#HAIER ค.น้ำอุ่น 4500W #EI45M-F1W,EI45M-F1W(TH),SELLABLE,,,WH,Manual,4500W,,
MK-910212-2500009102128,MK,910212,2.50001E+12,#HAIER ค.น้ำอุ่น4500W#EI45M-F1CWB,EI45M-F1CWB(TH),SELLABLE,,,WH,Manual,4500W,,
MK-879079-6930265304336,MK,879079,6.93027E+12,ตชข.HAIER#HCF-108P2/1D/3.5Q,HCF-108P2,SELLABLE,,,FZ,Chest,3.5Q,,
MK-917831-8855671030434,MK,917831,8.85567E+12,ตชข.HAIER#HCF-1300M/1D/13.4Q,HCF-1300M,SELLABLE,,,FZ,Chest,13.4Q,,
MK-760168-6930265304305,MK,760168,6.93027E+12,ตชข.HAIER#HCF-208P2/1D/5Q,HCF-208P2,SELLABLE,,,FZ,Chest,5.0Q,,
MK-332570-6930265304282,MK,332570,6.93027E+12,ตชข.HAIER#HCF-228P2/1D/7Q,HCF-228P2,SELLABLE,,,FZ,Chest,7.0Q,,
