INDEX_STORE,CUSTOMER,STORE_ID_CUST,STORE_NAME_CUST,CUSTOMER_NAME,STORE_ID,STORE_NAME,PROVINCE,STORE_TYPE,REGION,CHANNEL,Latitude,Longitude,STORE_SIZE,HUB_STORE,TOP_STORE,STORE_RANK,REMARK
MK-853,MK,853,บมจ.ซีพี แอ็กซ์ตร้า คลังสินค้าอาหารแห้ง วังน้อย2,Makro,TMK-853,MK.DC-853-WANGNOI_2,AYUTTHAYA,DC,WEST&EAST,MDT,13.7236481,100.5699473,,,N/A,,
MK-68,MK,68,บมจ.ซีพี แอ็กซ์ตร้า สาขาศาลายา,Makro,S00085,MK:SALAYA-NAKHONPATHOM,NAKHONPATHOM,STORE,WEST&EAST,MDT,13.801991,100.305356,CLASSIC B,,N/A,,
MK-67,MK,67,บมจ.ซีพี แอ็กซ์ตร้า สาขาแม่สาย,Makro,S00094,MK-MAESAI-CHIANGRAI,CHIANGRAI,STORE,NORTH,MDT,20.406738,99.886056,CLASSIC B,,N/A,,
MK-49,MK,49,บมจ.ซีพี แอ็กซ์ตร้า สาขาราชบุรี,Makro,S00097,MK-RATCHABURI,RATCHABURI,STORE,WEST&EAST,MDT,13.541512,99.800411,CLASSIC B,,N/A,,
MK-15,MK,15,บมจ.ซีพี แอ็กซ์ตร้า สาขาระยอง,Makro,S00098,MK-RAYONG,RAYONG,STORE,WEST&EAST,MDT,12.697661,101.264684,CLASSIC A,,N/A,,
MK-16,MK,16,บมจ.ซีพี แอ็กซ์ตร้า สาขานครสวรรค์,Makro,S00099,MK-NAKHONSAWAN,NAKHONSAWAN,STORE,NORTH,MDT,15.684935,100.131071,CLASSIC A,,N/A,,
MK-61,MK,61,บมจ.ซีพี แอ็กซ์ตร้า สาขาชุมแพ,Makro,S00114,MK-CHUMPAE-KHONKAEN,KHONKAEN,STORE,NORTHEAST,MDT,16.552587,102.086629,CLASSIC B,,N/A,,
MK-28,MK,28,บมจ.ซีพี แอ็กซ์ตร้า สาขาร้อยเอ็ด,Makro,S00130,MK-ROIET,ROIET,STORE,NORTHEAST,MDT,16.058289,103.630801,CLASSIC C,,N/A,,
MK-50,MK,50,บมจ.ซีพี แอ็กซ์ตร้า สาขาแม่ริม,Makro,S00133,MK-MAE RIM-CHIANGMAI,CHIANGMAI,STORE,NORTH,MDT,18.89902,98.95197,,,N/A,,
MK-22,MK,22,บมจ.ซีพี แอ็กซ์ตร้า สาขานครศรีธรรมราช,Makro,S00134,MK-NAKHONSITHAMMARAT,NAKHONSITHAMMARAT,STORE,SOUTH,MDT,8.434506,99.928413,CLASSIC C,,N/A,,
MK-119,MK,119,บมจ.ซีพี แอ็กซ์ตร้า สาขาพิจิตร,Makro,S00136,MK-PHICHIT,PHICHIT,STORE,NORTH,MDT,16.432181,100.335534,,,N/A,,
MK-6,MK,6,บมจ.ซีพี แอ็กซ์ตร้า สาขาเชียงใหม่,Makro,S00138,MK-CHIANGMAI,CHIANGMAI,STORE,NORTH,MDT,18.785085,99.027764,CLASSIC A,,N/A,,
MK-57,MK,57,บมจ.ซีพี แอ็กซ์ตร้า สาขาบางพลี,Makro,S00140,MK:BANGPLEE,SAMUTPRAKAN,STORE,BKK CENTRAL,MDT,13.634727,100.712724,CLASSIC B,,N/A,,
MK-19,MK,19,บมจ.ซีพี แอ็กซ์ตร้า สาขานครปฐม,Makro,S00145,MK:NAKHONPATHOM,NAKHONPATHOM,STORE,WEST&EAST,MDT,13.804997,100.009143,CLASSIC B,,N/A,,
MK-18,MK,18,บมจ.ซีพี แอ็กซ์ตร้า สาขาสาทร,Makro,S00149,MK:SATHORN,BANGKOK,STORE,BKK CENTRAL,MDT,13.709795,100.53582,CLASSIC A,,N/A,,
MK-59,MK,59,บมจ.ซีพี แอ็กซ์ตร้า สาขาสตูล,Makro,S00154,MK-SATUN,SATUN,STORE,SOUTH,MDT,6.671318,100.074674,CLASSIC B,,N/A,,
MK-3,MK,3,บมจ.ซีพี แอ็กซ์ตร้า สาขาศรีนครินทร์,Makro,S00156,MK:SRINAKARIN,SAMUTPRAKAN,STORE,BKK CENTRAL,MDT,13.653637,100.640386,CLASSIC A,,N/A,,
MK-47,MK,47,บมจ.ซีพี แอ็กซ์ตร้า สาขาลพบุรี,Makro,S00159,MK-LOPBURI,LOPBURI,STORE,WEST&EAST,MDT,14.78234,100.687098,CLASSIC B,,N/A,,
MK-9,MK,9,บมจ.ซีพี แอ็กซ์ตร้า สาขาหาดใหญ่,Makro,S00161,MK-HADYAI-SONGKHLA,SONGKHLA,STORE,SOUTH,MDT,6.990783,100.48865,CLASSIC A,,N/A,,
MK-65,MK,65,บมจ.ซีพี แอ็กซ์ตร้า สาขาบึงกาฬ,Makro,S00165,MK-BUENGKAN,BUENGKAN,STORE,NORTHEAST,MDT,18.365955,103.641333,,,N/A,,
MK-17,MK,17,บมจ.ซีพี แอ็กซ์ตร้า สาขาจรัญสนิทวงศ์,Makro,S00168,MK:CHARUNSANITWONG,BANGKOK,STORE,BKK CENTRAL,MDT,13.7622,100.470055,CLASSIC A,,N/A,,
MK-10,MK,10,บมจ.ซีพี แอ็กซ์ตร้า สาขาอุดรธานี,Makro,S00179,MK-UDONTHANI,UDONTHANI,STORE,NORTHEAST,MDT,17.390006,102.816856,CLASSIC A,,N/A,,
MK-24,MK,24,บมจ.ซีพี แอ็กซ์ตร้า สาขาสกลนคร,Makro,S00183,MK-SAKONNAKHON,SAKONNAKHON,STORE,NORTHEAST,MDT,17.174829,104.129369,,,N/A,,
MK-58,MK,58,บมจ.ซีพี แอ็กซ์ตร้า สาขามุกดาหาร,Makro,S00186,MK-MUKDAHAN,MUKDAHAN,STORE,NORTHEAST,MDT,16.54237,104.707521,CLASSIC B,,N/A,,
MK-30,MK,30,บมจ.ซีพี แอ็กซ์ตร้า สาขาสระแก้ว,Makro,S00187,MK-SAKAEO,SAKAEO,STORE,WEST&EAST,MDT,13.808461,102.081676,CLASSIC B,,N/A,,
MK-110,MK,110,บมจ.ซีพี แอ็กซ์ตร้า สาขาประจวบคีรีขันธ์,Makro,S00188,MK-PRACHUAPKHIRIKHAN,PRACHUAPKHIRIKHAN,STORE,WEST&EAST,MDT,11.828822,99.875044,,,N/A,,
MK-55,MK,55,บมจ.ซีพี แอ็กซ์ตร้า สาขาเลย,Makro,S00191,MK-LOEI,LOEI,STORE,NORTHEAST,MDT,17.470266,101.724053,,,N/A,,
MK-1,MK,1,บมจ.ซีพี แอ็กซ์ตร้า สาขาลาดพร้าว,Makro,S00199,MK:LADPRAO,BANGKOK,STORE,BKK CENTRAL,MDT,13.763903,100.642385,CLASSIC A,,N/A,,
MK-4,MK,4,บมจ.ซีพี แอ็กซ์ตร้า สาขาบางบอน,Makro,S00200,MK:BANGBON,BANGKOK,STORE,BKK CENTRAL,MDT,13.6719,100.40816,CLASSIC A,,N/A,,
MK-46,MK,46,บมจ.ซีพี แอ็กซ์ตร้า สาขากาญจนบุรี,Makro,S00204,MK-KANCHANABURI,KANCHANABURI,STORE,WEST&EAST,MDT,13.981104,99.584421,CLASSIC B,,N/A,,
MK-103,MK,103,บมจ.ซีพี แอ็กซ์ตร้า สาขาน่าน,Makro,S00205,MK-NAN,NAN,STORE,NORTH,MDT,18.754974,100.760462,CLASSIC B,,N/A,,
MK-70,MK,70,บมจ.ซีพี แอ็กซ์ตร้า สาขาสุโขทัย,Makro,S00207,MK-SUKHOTHAI,SUKHOTHAI,STORE,NORTH,MDT,17.016161,99.846639,,,N/A,,
MK-73,MK,73,บมจ.ซีพี แอ็กซ์ตร้า สาขาแม่สอด,Makro,S00211,MK-MAESOD-TAK,TAK,STORE,NORTH,MDT,16.724788,98.58851,CLASSIC B,,N/A,,
MK-23,MK,23,บมจ.ซีพี แอ็กซ์ตร้า สาขาเชียงราย,Makro,S00213,MK-CHIANGRAI,CHIANGRAI,STORE,NORTH,MDT,19.957677,99.852739,CLASSIC C,,N/A,,
MK-25,MK,25,บมจ.ซีพี แอ็กซ์ตร้า สาขาสุพรรณบุรี,Makro,S00214,MK-SUPHANBURI,SUPHANBURI,STORE,WEST&EAST,MDT,14.482775,100.131402,CLASSIC C,,N/A,,
MK-32,MK,32,บมจ.ซีพี แอ็กซ์ตร้า สาขาบุรีรัมย์,Makro,S00215,MK-BURIRAM,BURIRAM,STORE,NORTHEAST,MDT,14.9732904,103.0703327,CLASSIC B,,N/A,,
MK-26,MK,26,บมจ.ซีพี แอ็กซ์ตร้า สาขาจันทบุรี,Makro,S00216,MK-CHANTHABURI,CHANTHABURI,STORE,WEST&EAST,MDT,12.616771,102.143318,,,N/A,,
MK-76,MK,76,บมจ.ซีพี แอ็กซ์ตร้า สาขาระนอง,Makro,S00218,MK-RANONG,RANONG,STORE,SOUTH,MDT,9.93168,98.63366,CLASSIC B,,N/A,,
MK-12,MK,12,บมจ.ซีพี แอ็กซ์ตร้า สาขาขอนแก่น,Makro,S00220,MK-KHONKAEN,KHONKAEN,STORE,NORTHEAST,MDT,16.387691,102.908878,CLASSIC A,,N/A,,
MK-52,MK,52,บมจ.ซีพี แอ็กซ์ตร้า สาขาลำปาง,Makro,S00223,MK-LAMPANG,LAMPANG,STORE,NORTH,MDT,18.2748,99.484883,,,N/A,,
MK-33,MK,33,บมจ.ซีพี แอ็กซ์ตร้า สาขาศรีสะเกษ,Makro,S00226,MK-SISAKET,SISAKET,STORE,NORTHEAST,MDT,15.106714,104.370827,,,N/A,,
MK-116,MK,116,บมจ.ซีพี แอ็กซ์ตร้า สาขากาฬสินธุ์,Makro,S00228,MK-KALASIN,KALASIN,STORE,NORTHEAST,MDT,16.453747,103.531291,,,N/A,,
MK-29,MK,29,บมจ.ซีพี แอ็กซ์ตร้า สาขาตรัง,Makro,S00231,MK-TRANG,TRANG,STORE,SOUTH,MDT,7.536765,99.620119,,,N/A,,
MK-11,MK,11,บมจ.ซีพี แอ็กซ์ตร้า สาขาพิษณุโลก,Makro,S00232,MK-PHITSANULOK,PHITSANULOK,STORE,NORTH,MDT,16.793753,100.232991,CLASSIC A,,N/A,,
MK-54,MK,54,บมจ.ซีพี แอ็กซ์ตร้า สาขาคลองหลวง,Makro,S00233,MK:KHLONG_LUANG,PATHUMTHANI,STORE,BKK CENTRAL,MDT,14.067039,100.63341,CLASSIC B,,N/A,,
MK-5,MK,5,บมจ.ซีพี แอ็กซ์ตร้า สาขาชลบุรี,Makro,S00234,MK-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,13.321984,100.960688,CLASSIC A,,N/A,,
MK-45,MK,45,บมจ.ซีพี แอ็กซ์ตร้า สาขากำแพงเพชร,Makro,S00237,MK-KAMPHAENGPHET,KAMPHAENGPHET,STORE,NORTH,MDT,16.451561,99.538596,,,N/A,,
MK-106,MK,106,บมจ.ซีพี แอ็กซ์ตร้า สาขาวารินชำราบ,Makro,S00240,MK-WARINCHAMRAB-UBONRATCHATHANI,UBONRATCHATHANI,STORE,NORTHEAST,MDT,15.174564,104.866312,CLASSIC B,,N/A,,
MK-48,MK,48,บมจ.ซีพี แอ็กซ์ตร้า สาขาหนองคาย,Makro,S00244,MK-NONGKHAI,NONGKHAI,STORE,NORTHEAST,MDT,17.805572,102.758604,CLASSIC B,,N/A,,
MK-20,MK,20,บมจ.ซีพี แอ็กซ์ตร้า สาขาสุรินทร์,Makro,S00247,MK-SURIN,SURIN,STORE,NORTHEAST,MDT,14.870344,103.5125,CLASSIC B,,N/A,,
MK-80,MK,80,บมจ.ซีพี แอ็กซ์ตร้า สาขามหาสารคาม,Makro,S00253,MK-MAHASARAKHAM,MAHASARAKHAM,STORE,NORTHEAST,MDT,16.211514,103.276119,,,N/A,,
MK-36,MK,36,บมจ.ซีพี แอ็กซ์ตร้า สาขาเพชรบุรี,Makro,S00261,MK-PHETCHABURI,PHETCHABURI,STORE,WEST&EAST,MDT,12.620761,99.949873,,,N/A,,
MK-56,MK,56,บมจ.ซีพี แอ็กซ์ตร้า สาขาเพชรบูรณ์,Makro,S00262,MK-PHETCHABUN,PHETCHABUN,STORE,NORTH,MDT,16.388622,101.129076,CLASSIC B,,N/A,,
MK-79,MK,79,บมจ.ซีพี แอ็กซ์ตร้า สาขายโสธร,Makro,S00263,MK-YASOTHON,YASOTHON,STORE,NORTHEAST,MDT,15.773054,104.179536,,,N/A,,
MK-14,MK,14,บมจ.ซีพี แอ็กซ์ตร้า สาขาอุบลราชธานี,Makro,S00266,MK-UBONRATCHATHANI,UBONRATCHATHANI,STORE,NORTHEAST,MDT,15.26864,104.833229,CLASSIC A,,N/A,,
MK-37,MK,37,บมจ.ซีพี แอ็กซ์ตร้า สาขาชัยภูมิ,Makro,S00274,MK-CHAIYAPHUM,CHAIYAPHUM,STORE,NORTHEAST,MDT,15.775745,102.027349,,,N/A,,
MK-40,MK,40,บมจ.ซีพี แอ็กซ์ตร้า สาขาฉะเชิงเทรา,Makro,S00288,MK-CHACHOENGSAO,CHACHOENGSAO,STORE,WEST&EAST,MDT,13.720045,101.043307,CLASSIC B,,N/A,,
MK-69,MK,69,บมจ.ซีพี แอ็กซ์ตร้า สาขาพัทลุง,Makro,S00290,MK-PHATTHALUNG,PHATTHALUNG,STORE,SOUTH,MDT,7.585728,100.056084,,,N/A,,
MK-7,MK,7,บมจ.ซีพี แอ็กซ์ตร้า สาขานครราชสีมา,Makro,S00291,MK-NAKHONRATCHASIMA,NAKHONRATCHASIMA,STORE,NORTHEAST,MDT,14.993606,102.099804,CLASSIC A,,N/A,,
MK-152,MK,152,บมจ.ซีพี แอ็กซ์ตร้า สาขาสมุทรสงคราม,Makro,S00297,MK-SAMUTSONGKHRAM,SAMUTSONGKHRAM,STORE,WEST&EAST,MDT,13.41059,100.020296,,,N/A,,
MK-39,MK,39,บมจ.ซีพี แอ็กซ์ตร้า สาขาปราณบุรี,Makro,S00299,MK-PRANBURI-PRACHUAPKHIRIKHAN,PRACHUAPKHIRIKHAN,STORE,WEST&EAST,MDT,12.424748,99.918977,CLASSIC B,,N/A,,
MK-2,MK,2,บมจ.ซีพี แอ็กซ์ตร้า สาขาแจ้งวัฒนะ,Makro,S00302,MK:CHANGWATTANA,NONTHABURI,STORE,BKK CENTRAL,MDT,13.896455,100.548505,CLASSIC A,,N/A,,
MK-107,MK,107,บมจ.ซีพี แอ็กซ์ตร้า สาขาหนองบัวลำภู,Makro,S00305,MK-NONGBUALAMPHU,NONGBUALAMPHU,STORE,NORTHEAST,MDT,17.211821,102.435557,,,N/A,,
MK-87,MK,87,บมจ.ซีพี แอ็กซ์ตร้า สาขาพะเยา,Makro,S00312,MK-PHAYAO,PHAYAO,STORE,NORTH,MDT,19.155161,99.914349,,,N/A,,
MK-81,MK,81,บมจ.ซีพี แอ็กซ์ตร้า สาขาฝาง,Makro,S00317,MK-FANG-CHIANGMAI,CHIANGMAI,STORE,NORTH,MDT,19.890162,99.196177,,,N/A,,
MK-13,MK,13,บมจ.ซีพี แอ็กซ์ตร้า สาขาสุราษฎร์ธานี,Makro,S00321,MK-SURATTHANI,SURATTHANI,STORE,SOUTH,MDT,9.121232,99.339083,CLASSIC A,,N/A,,
MK-34,MK,34,บมจ.ซีพี แอ็กซ์ตร้า สาขาลำพูน,Makro,S00325,MK-LAMPHUN,LAMPHUN,STORE,NORTH,MDT,18.594324,99.041233,,,N/A,,
MK-100,MK,100,บมจ.ซีพี แอ็กซ์ตร้า สาขาแพร่,Makro,S00326,MK-PHRAE,PHRAE,STORE,NORTH,MDT,18.117512,100.152038,,,N/A,,
MK-149,MK,149,บมจ.ซีพี แอ็กซ์ตร้า สาขาอ้อมน้อย,Makro,S00336,MK:AOMNOI-SAMUTSAKHON,SAMUTSAKHON,STORE,WEST&EAST,MDT,13.637,100.292,,,N/A,,
